Description,DangerousEquipment,EquipmentProximity,WorkerMovement,Slips,LeadingEdge,Confinedspace,Hazardousmaterial,Heavymaterialmovement,Electricalsproximity,Hightempertureoperation
عایق کاری حرارتی با عایق پلی استایرن اکسترودشده به ضخامت ١۵ میلی متر و وزن مخصوص ٢۵ کیلوگرم بر مترمکعب.,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
اجرای سقف تیرچه و بلوک به ضخامت ٢۵ سانتی‌متر با تیرچه فولادی با جان باز و بلوک توخالی بتنی شامل تهیه تمام مصالح به‌استثنای تیرچه فولادی و میلگرد و تهیه تجهیزات لازم به‌طور کامل.,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
تهیه و نصب صفحات مشبک قالب‌گیری شده ( Moulded Grating) و مسلح با الیاف شیشه به ابعاد اسمی چشمه ٣٨*٣٨ میلی‌متر و ضخامت ٢۵ میلی‌متر با تمام وسایل و اتصالات مربوط.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تعبیه و جاسازی محل سطوح شیشه خور یا بازشو در دیوار جداکننده از جنس MDF به همراه تهیه و کوبیدن زهوار از جنس MDF (برحسب محیط سطح شیشه خور یا بازشو).,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
اجرای سقف تیرچه و بلوک به ضخامت ٣۵ سانتی‌متر با تیرچه فولادی با جان باز و بلوک توخالی بتنی، شامل تهیه تمام مصالح به‌استثنای تیرچه فولادی و میلگرد، و تهیه تجهیزات لازم به‌طور کامل.,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
تهیه و اجرای آسفالت سرد مخلوط در محل با سنگ شکسته، هرگاه مصالح با دانه بندی پیوسته صفر تا ١٩میلی‌متر باشد.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
تهیه، ساخت و نصب در و پنجره فولادی از نبشی، سپری، ناودانی، میلگرد، ورق و مانند آن، با جاسازی و دستمزد نصب یراق‌آلات همراه با جوش کاری و ساییدن لازم.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
لایهکاری دو شیشه مسطح با لایه مقاوم در برابر آتش.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
اجرای سقف تیرچه و بلوک به ضخامت ٢۵ سانتی‌متر با تیرچه فولادی با جان باز و بلوک پلی استایرن منبسط شده، شامل تهیه تمام مصالح به‌استثنای تیرچه فولادی و میلگرد و تهیه تجهیزات لازم به‌طور کامل.,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
تهیه مصالح و اجرای رنگ نیم پلاستیک روی سطوح سیمانی یا بتنی شامل آستر و رویه.,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
تهیه وسایل و قالب بندی با استفاده از قالب فولادی در ستون‌ها و شناژهای قائم با مقطع چهارضلعی که ارتفاع بیش از ٧٫۵ متر و حداکثر ١٠ متر باشد.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
برچیدن سینی و نردبان کابل به همراه بست، اتصالات و تکیه‌گاه مربوط.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
تعبیه و جاسازی بازشو یا سوراخ در صفحات سیمانی الیاف دار، به قطر تا ١۵ سانتی‌متر یا سطح معادل آن.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
تهیه مصالح زیراساس، بارگیری، حمل و باراندازی درمحل مصرف، وقتی‌که دانه بندی مصالح صفر تا ۵٠میلی‌متر باشد.,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
تهیه، ساخت و نصب تیر به‌صورت تودلی، از یک تیرآهن یا ناودانی، به همراه ورق‌های تقویتی و اتصالات مربوط.,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
تهیه، بریدن، خم کردن و کار گذاشتن میلگرد آجدار به قطر١٢ تا ١٨ میلی‌متر، برای بتن  مسلح با سیم‌پیچی لازم.,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
